order_id,timestamp,city,restaurant_id,cuisine,order_value,delivery_time_min,surge_applied
ORD140128,2025-01-01T06:59:00,Mumbai,R0697,Chinese,294,57,0
ORD125955,2025-01-01T07:03:00,Kolkata,R0159,South Indian,231,20,0
ORD131886,2025-01-01T07:05:00,Kolkata,R0668,North Indian,344,32,0
ORD109236,2025-01-01T07:18:00,Mumbai,R0010,South Indian,80,25,0
ORD104386,2025-01-01T07:28:00,Chennai,R0558,Beverages,115,42,0
ORD145355,2025-01-01T07:30:00,Mumbai,R0055,Italian,666,46,0
ORD109455,2025-01-01T07:36:00,Mumbai,R0400,Fast Food,326,15,0
ORD148069,2025-01-01T07:45:00,Chennai,R0284,South Indian,311,35,0
ORD108225,2025-01-01T07:53:00,Delhi,R0794,Italian,658,58,0
ORD107418,2025-01-01T08:01:00,Hyderabad,R0655,Continental,633,29,0
ORD130522,2025-01-01T08:02:00,Chennai,R0043,Biryani,311,19,0
ORD140008,2025-01-01T08:07:00,Mumbai,R0635,South Indian,389,24,0
ORD109041,2025-01-01T08:08:00,Hyderabad,R0680,Chinese,270,38,0
ORD126462,2025-01-01T08:16:00,Delhi,R0440,Italian,726,51,0
ORD119866,2025-01-01T08:21:00,Bangalore,R0186,Italian,754,48,0
ORD106471,2025-01-01T08:22:00,Bangalore,R0619,Beverages,111,50,0
ORD112955,2025-01-01T08:33:00,Mumbai,R0575,Desserts,185,26,0
ORD138940,2025-01-01T08:34:00,Hyderabad,R0060,North Indian,146,42,0
ORD146421,2025-01-01T08:35:00,Hyderabad,R0204,Beverages,226,48,0
ORD120963,2025-01-01T08:37:00,Bangalore,R0126,Beverages,259,51,0
ORD140226,2025-01-01T08:38:00,Chennai,R0724,North Indian,307,32,0
ORD139062,2025-01-01T08:41:00,Pune,R0327,Fast Food,166,39,0
ORD137305,2025-01-01T08:46:00,Bangalore,R0563,North Indian,597,15,0
ORD128509,2025-01-01T08:57:00,Mumbai,R0330,North Indian,438,37,0
ORD127318,2025-01-01T08:57:00,Delhi,R0208,Biryani,385,41,0
ORD135183,2025-01-01T09:01:00,Mumbai,R0614,Desserts,105,37,0
ORD102288,2025-01-01T09:01:00,Mumbai,R0350,Beverages,94,56,0
ORD115685,2025-01-01T09:02:00,Mumbai,R0527,Italian,597,23,0
ORD144324,2025-01-01T09:05:00,Hyderabad,R0273,Chinese,314,29,0
ORD134093,2025-01-01T09:05:00,Chennai,R0015,Beverages,161,33,0
ORD104148,2025-01-01T09:07:00,Delhi,R0523,North Indian,642,39,0
ORD146447,2025-01-01T09:07:00,Mumbai,R0445,Biryani,382,48,0
ORD145476,2025-01-01T09:07:00,Bangalore,R0360,Fast Food,314,38,0
ORD143172,2025-01-01T09:16:00,Pune,R0715,North Indian,432,42,0
ORD129883,2025-01-01T09:26:00,Bangalore,R0061,Italian,378,15,0
ORD100800,2025-01-01T09:29:00,Hyderabad,R0213,South Indian,205,51,0
ORD108556,2025-01-01T09:35:00,Kolkata,R0497,Fast Food,225,29,0
ORD125445,2025-01-01T09:37:00,Bangalore,R0037,North Indian,397,36,0
ORD124712,2025-01-01T09:37:00,Bangalore,R0357,Italian,518,31,0
ORD108491,2025-01-01T09:40:00,Pune,R0488,Beverages,80,22,0
ORD117746,2025-01-01T09:41:00,Bangalore,R0042,Desserts,133,51,0
ORD134846,2025-01-01T09:53:00,Kolkata,R0569,Biryani,235,15,0
ORD112368,2025-01-01T09:53:00,Hyderabad,R0583,Desserts,106,36,0
ORD106006,2025-01-01T10:00:00,Chennai,R0413,South Indian,170,45,0
ORD115166,2025-01-01T10:04:00,Pune,R0448,Continental,375,57,0
ORD140158,2025-01-01T10:15:00,Chennai,R0158,Italian,586,45,0
ORD112012,2025-01-01T10:17:00,Delhi,R0794,Italian,349,55,0
ORD106518,2025-01-01T10:17:00,Bangalore,R0247,Italian,859,27,0
ORD109390,2025-01-01T10:24:00,Mumbai,R0198,Continental,531,30,0
ORD107834,2025-01-01T10:26:00,Hyderabad,R0581,Desserts,255,53,0
ORD121581,2025-01-01T10:30:00,Bangalore,R0747,Continental,429,39,0
ORD133352,2025-01-01T10:33:00,Mumbai,R0159,Desserts,195,30,0
ORD103567,2025-01-01T10:37:00,Delhi,R0179,Fast Food,215,41,0
ORD113011,2025-01-01T10:41:00,Mumbai,R0316,Biryani,523,32,0
ORD123027,2025-01-01T10:48:00,Hyderabad,R0179,Chinese,329,31,0
ORD126886,2025-01-01T10:50:00,Bangalore,R0711,Fast Food,237,19,0
ORD118167,2025-01-01T10:55:00,Delhi,R0769,Biryani,483,39,0
ORD133001,2025-01-01T10:58:00,Kolkata,R0041,Continental,792,41,0
ORD134993,2025-01-01T11:00:00,Mumbai,R0487,Desserts,248,38,0
ORD108065,2025-01-01T11:02:00,Bangalore,R0448,Desserts,189,21,0
ORD126311,2025-01-01T11:03:00,Pune,R0316,North Indian,540,35,0
ORD113750,2025-01-01T11:08:00,Kolkata,R0463,North Indian,287,52,0
ORD116321,2025-01-01T11:09:00,Chennai,R0364,Biryani,566,21,0
ORD115949,2025-01-01T11:10:00,Bangalore,R0754,Biryani,238,53,0
ORD145887,2025-01-01T11:10:00,Mumbai,R0422,Desserts,144,15,0
ORD117935,2025-01-01T11:11:00,Mumbai,R0218,Chinese,558,54,0
ORD112216,2025-01-01T11:12:00,Mumbai,R0252,Biryani,481,41,0
ORD137106,2025-01-01T11:15:00,Bangalore,R0370,Chinese,171,41,0
ORD131071,2025-01-01T11:15:00,Bangalore,R0051,South Indian,253,32,0
ORD120625,2025-01-01T11:17:00,Kolkata,R0012,Continental,651,35,0
ORD134396,2025-01-01T11:17:00,Bangalore,R0500,Chinese,196,26,0
ORD147595,2025-01-01T11:21:00,Mumbai,R0402,North Indian,274,50,0
ORD127609,2025-01-01T11:24:00,Mumbai,R0231,Beverages,92,28,0
ORD135468,2025-01-01T11:27:00,Pune,R0628,Fast Food,242,51,0
ORD135206,2025-01-01T11:27:00,Mumbai,R0732,Continental,441,37,0
ORD147299,2025-01-01T11:29:00,Kolkata,R0768,Continental,502,37,0
ORD125406,2025-01-01T11:30:00,Mumbai,R0310,North Indian,398,24,0
ORD127078,2025-01-01T11:31:00,Mumbai,R0519,North Indian,302,35,0
ORD119042,2025-01-01T11:32:00,Mumbai,R0395,Beverages,208,39,0
ORD106609,2025-01-01T11:34:00,Bangalore,R0032,Beverages,153,18,0
ORD136627,2025-01-01T11:36:00,Bangalore,R0534,Italian,195,40,0
ORD118457,2025-01-01T11:37:00,Delhi,R0289,Beverages,126,26,0
ORD133864,2025-01-01T11:39:00,Kolkata,R0680,South Indian,274,48,0
ORD127369,2025-01-01T11:40:00,Delhi,R0620,North Indian,113,18,0
ORD127800,2025-01-01T11:40:00,Bangalore,R0406,Chinese,497,36,0
ORD148494,2025-01-01T11:44:00,Hyderabad,R0498,Beverages,178,55,0
ORD117681,2025-01-01T11:48:00,Delhi,R0240,Beverages,98,18,0
ORD113265,2025-01-01T11:51:00,Bangalore,R0319,Biryani,210,29,0
ORD138580,2025-01-01T11:52:00,Bangalore,R0714,Chinese,309,29,0
ORD122262,2025-01-01T11:52:00,Hyderabad,R0017,Chinese,366,41,0
ORD129039,2025-01-01T11:52:00,Chennai,R0652,Italian,569,60,0
ORD129692,2025-01-01T11:55:00,Mumbai,R0318,South Indian,191,28,0
ORD120404,2025-01-01T11:56:00,Hyderabad,R0785,Chinese,207,30,0
ORD111215,2025-01-01T11:56:00,Bangalore,R0061,Beverages,80,47,0
ORD120876,2025-01-01T11:58:00,Mumbai,R0631,Italian,443,26,0
ORD140889,2025-01-01T11:58:00,Mumbai,R0493,Chinese,127,37,0
ORD127071,2025-01-01T11:59:00,Mumbai,R0274,Chinese,473,15,0
ORD101322,2025-01-01T12:02:00,Kolkata,R0456,Beverages,98,34,0
ORD102923,2025-01-01T12:02:00,Mumbai,R0543,Chinese,647,31,1
ORD130377,2025-01-01T12:02:00,Bangalore,R0088,Biryani,320,45,0
ORD106219,2025-01-01T12:03:00,Mumbai,R0547,Biryani,389,56,1
ORD144556,2025-01-01T12:06:00,Hyderabad,R0669,Beverages,97,32,1
ORD121013,2025-01-01T12:06:00,Mumbai,R0030,Fast Food,80,53,0
ORD107302,2025-01-01T12:08:00,Chennai,R0003,Biryani,91,73,0
ORD111880,2025-01-01T12:11:00,Delhi,R0120,Beverages,88,40,0
ORD128343,2025-01-01T12:11:00,Bangalore,R0322,Italian,247,24,0
ORD114229,2025-01-01T12:13:00,Hyderabad,R0483,Fast Food,252,53,1
ORD100298,2025-01-01T12:15:00,Delhi,R0741,Continental,525,33,0
ORD123690,2025-01-01T12:22:00,Hyderabad,R0394,Biryani,314,46,1
ORD149718,2025-01-01T12:22:00,Chennai,R0459,North Indian,250,35,0
ORD129099,2025-01-01T12:22:00,Delhi,R0261,Beverages,140,39,0
ORD114553,2025-01-01T12:24:00,Delhi,R0426,South Indian,99,45,0
ORD102078,2025-01-01T12:24:00,Pune,R0221,Chinese,378,32,1
ORD126822,2025-01-01T12:25:00,Bangalore,R0276,Chinese,230,34,0
ORD149449,2025-01-01T12:28:00,Mumbai,R0738,Biryani,378,50,0
ORD138501,2025-01-01T12:28:00,Mumbai,R0528,Italian,481,65,0
ORD128398,2025-01-01T12:28:00,Bangalore,R0702,Italian,370,41,0
ORD116781,2025-01-01T12:28:00,Pune,R0155,Italian,327,33,0
ORD149779,2025-01-01T12:29:00,Hyderabad,R0454,Continental,609,51,1
ORD108143,2025-01-01T12:29:00,Mumbai,R0220,South Indian,167,42,0
ORD141530,2025-01-01T12:31:00,Chennai,R0108,Fast Food,341,16,0
ORD103231,2025-01-01T12:34:00,Delhi,R0392,North Indian,357,55,0
ORD107300,2025-01-01T12:35:00,Mumbai,R0614,Biryani,527,58,0
ORD139086,2025-01-01T12:35:00,Delhi,R0493,South Indian,90,38,0
ORD131406,2025-01-01T12:36:00,Chennai,R0794,Chinese,315,23,0
ORD136470,2025-01-01T12:36:00,Kolkata,R0556,Biryani,534,48,1
ORD125472,2025-01-01T12:37:00,Bangalore,R0483,Continental,638,28,1
ORD148379,2025-01-01T12:38:00,Kolkata,R0498,Biryani,153,52,0
ORD144511,2025-01-01T12:40:00,Chennai,R0326,South Indian,261,54,0
ORD136495,2025-01-01T12:40:00,Hyderabad,R0008,Fast Food,195,37,0
ORD147805,2025-01-01T12:41:00,Delhi,R0368,Desserts,242,32,0
ORD122824,2025-01-01T12:42:00,Hyderabad,R0707,Beverages,80,47,0
ORD116079,2025-01-01T12:42:00,Mumbai,R0435,Chinese,303,37,0
ORD102335,2025-01-01T12:46:00,Mumbai,R0511,Chinese,393,32,0
ORD147863,2025-01-01T12:48:00,Mumbai,R0717,North Indian,316,53,0
ORD113952,2025-01-01T12:48:00,Bangalore,R0419,Desserts,189,42,0
ORD105301,2025-01-01T12:50:00,Bangalore,R0099,North Indian,266,20,0
ORD126394,2025-01-01T12:52:00,Kolkata,R0250,Italian,529,55,0
ORD125277,2025-01-01T12:53:00,Mumbai,R0772,Continental,815,29,0
ORD145093,2025-01-01T12:54:00,Delhi,R0721,Fast Food,379,49,0
ORD147349,2025-01-01T12:54:00,Bangalore,R0619,Chinese,327,30,0
ORD102797,2025-01-01T12:54:00,Delhi,R0233,Italian,724,26,1
ORD101707,2025-01-01T12:57:00,Kolkata,R0436,Chinese,258,49,0
ORD116871,2025-01-01T12:57:00,Delhi,R0750,Continental,191,41,0
ORD115697,2025-01-01T12:57:00,Pune,R0770,Italian,824,53,0
ORD107736,2025-01-01T13:00:00,Mumbai,R0526,South Indian,303,51,0
ORD140460,2025-01-01T13:01:00,Bangalore,R0176,Fast Food,205,34,0
ORD101773,2025-01-01T13:01:00,Pune,R0614,Chinese,396,60,0
ORD106472,2025-01-01T13:01:00,Chennai,R0034,South Indian,128,59,0
ORD106544,2025-01-01T13:01:00,Mumbai,R0077,South Indian,158,71,0
ORD129090,2025-01-01T13:02:00,Pune,R0654,Italian,653,47,0
ORD126350,2025-01-01T13:05:00,Kolkata,R0014,Chinese,268,29,0
ORD102067,2025-01-01T13:05:00,Hyderabad,R0169,Biryani,346,46,0
ORD138100,2025-01-01T13:07:00,Chennai,R0412,Italian,601,33,1
ORD146611,2025-01-01T13:08:00,Hyderabad,R0146,Desserts,217,47,0
ORD137830,2025-01-01T13:10:00,Bangalore,R0011,Fast Food,252,47,0
ORD118103,2025-01-01T13:11:00,Hyderabad,R0135,Chinese,287,66,1
ORD149443,2025-01-01T13:11:00,Mumbai,R0336,Desserts,182,37,0
ORD102439,2025-01-01T13:11:00,Hyderabad,R0276,Italian,395,57,1
ORD130686,2025-01-01T13:12:00,Pune,R0320,Continental,545,36,1
ORD119539,2025-01-01T13:13:00,Mumbai,R0085,Beverages,105,39,0
ORD135572,2025-01-01T13:15:00,Hyderabad,R0506,Italian,560,67,0
ORD138002,2025-01-01T13:16:00,Delhi,R0740,Chinese,118,60,1
ORD134666,2025-01-01T13:17:00,Bangalore,R0043,Beverages,108,28,0
ORD143016,2025-01-01T13:17:00,Mumbai,R0636,Desserts,90,51,1
ORD128833,2025-01-01T13:18:00,Pune,R0274,Beverages,140,59,0
ORD111237,2025-01-01T13:18:00,Bangalore,R0661,Fast Food,204,28,1
ORD134046,2025-01-01T13:20:00,Hyderabad,R0678,Biryani,454,27,1
ORD111590,2025-01-01T13:22:00,Hyderabad,R0212,Beverages,135,45,0
ORD121133,2025-01-01T13:22:00,Mumbai,R0325,South Indian,139,31,0
ORD120590,2025-01-01T13:22:00,Bangalore,R0654,Biryani,104,47,0
ORD112485,2025-01-01T13:23:00,Pune,R0108,Italian,425,37,0
ORD106317,2025-01-01T13:23:00,Delhi,R0542,South Indian,221,62,0
ORD138139,2025-01-01T13:23:00,Pune,R0468,Chinese,230,58,0
ORD131565,2025-01-01T13:23:00,Delhi,R0113,Italian,494,32,0
ORD139421,2025-01-01T13:25:00,Chennai,R0709,South Indian,308,65,0
ORD148003,2025-01-01T13:26:00,Chennai,R0094,Beverages,165,42,1
ORD128815,2025-01-01T13:26:00,Delhi,R0457,Desserts,157,48,0
ORD101582,2025-01-01T13:26:00,Delhi,R0748,South Indian,131,25,1
ORD130233,2025-01-01T13:28:00,Bangalore,R0125,North Indian,366,45,0
ORD109020,2025-01-01T13:33:00,Kolkata,R0166,Continental,726,19,0
ORD131395,2025-01-01T13:33:00,Delhi,R0205,Biryani,481,43,0
ORD103358,2025-01-01T13:34:00,Pune,R0463,South Indian,300,44,0
ORD144614,2025-01-01T13:34:00,Bangalore,R0519,Chinese,310,58,0
ORD112305,2025-01-01T13:34:00,Mumbai,R0285,South Indian,104,27,1
ORD116863,2025-01-01T13:38:00,Mumbai,R0601,Fast Food,314,60,0
ORD141347,2025-01-01T13:38:00,Bangalore,R0168,Beverages,124,59,0
ORD121209,2025-01-01T13:38:00,Pune,R0389,Fast Food,361,30,0
ORD136914,2025-01-01T13:39:00,Bangalore,R0275,Biryani,191,47,0
ORD144841,2025-01-01T13:39:00,Kolkata,R0335,Beverages,105,33,0
ORD133484,2025-01-01T13:40:00,Bangalore,R0140,Italian,490,35,0
ORD116564,2025-01-01T13:41:00,Delhi,R0394,Beverages,179,50,0
ORD118995,2025-01-01T13:41:00,Bangalore,R0794,Continental,504,52,0
ORD141303,2025-01-01T13:49:00,Pune,R0105,Continental,215,35,1
ORD121990,2025-01-01T13:50:00,Kolkata,R0454,South Indian,271,44,0
ORD128194,2025-01-01T13:50:00,Bangalore,R0393,Continental,564,49,0
ORD112917,2025-01-01T13:52:00,Pune,R0018,Beverages,172,26,0
ORD108703,2025-01-01T13:53:00,Bangalore,R0258,Biryani,343,50,1
ORD130422,2025-01-01T13:54:00,Hyderabad,R0544,South Indian,267,53,0
ORD104481,2025-01-01T13:55:00,Delhi,R0397,Beverages,174,45,1
ORD107133,2025-01-01T13:57:00,Delhi,R0349,North Indian,453,59,1
ORD105939,2025-01-01T13:57:00,Delhi,R0663,North Indian,419,43,0
ORD107017,2025-01-01T14:01:00,Delhi,R0684,Desserts,147,24,0
ORD143907,2025-01-01T14:04:00,Bangalore,R0106,Chinese,475,15,0
ORD113156,2025-01-01T14:06:00,Bangalore,R0717,Chinese,251,31,0
ORD105705,2025-01-01T14:09:00,Chennai,R0441,Desserts,139,15,0
ORD110683,2025-01-01T14:10:00,Mumbai,R0540,South Indian,249,31,0
ORD115400,2025-01-01T14:11:00,Pune,R0255,Fast Food,318,44,0
ORD120657,2025-01-01T14:11:00,Chennai,R0277,Fast Food,232,33,0
ORD102289,2025-01-01T14:11:00,Bangalore,R0436,Continental,465,44,0
ORD101113,2025-01-01T14:15:00,Pune,R0240,Beverages,239,27,0
ORD115991,2025-01-01T14:16:00,Bangalore,R0182,Biryani,257,33,1
ORD115212,2025-01-01T14:20:00,Delhi,R0294,Continental,310,20,0
ORD106362,2025-01-01T14:20:00,Hyderabad,R0056,Chinese,397,46,0
ORD149510,2025-01-01T14:20:00,Delhi,R0672,Beverages,106,31,0
ORD123354,2025-01-01T14:22:00,Delhi,R0259,Chinese,485,37,0
ORD134213,2025-01-01T14:23:00,Hyderabad,R0735,Fast Food,284,42,1
ORD116919,2025-01-01T14:24:00,Delhi,R0139,Beverages,301,46,0
ORD116132,2025-01-01T14:24:00,Bangalore,R0573,Chinese,396,44,0
ORD123592,2025-01-01T14:25:00,Bangalore,R0393,South Indian,313,26,0
ORD105806,2025-01-01T14:30:00,Bangalore,R0031,Chinese,373,23,0
ORD114764,2025-01-01T14:34:00,Chennai,R0397,Beverages,187,28,0
ORD132429,2025-01-01T14:36:00,Delhi,R0333,Chinese,318,41,0
ORD148206,2025-01-01T14:37:00,Mumbai,R0088,Beverages,164,44,0
ORD131209,2025-01-01T14:38:00,Chennai,R0391,Desserts,174,37,0
ORD114754,2025-01-01T14:43:00,Pune,R0576,Beverages,198,33,0
ORD119900,2025-01-01T14:48:00,Bangalore,R0797,Fast Food,151,42,0
ORD129110,2025-01-01T14:51:00,Chennai,R0245,Continental,842,33,0
ORD108203,2025-01-01T14:59:00,Pune,R0722,Beverages,86,36,0
ORD146522,2025-01-01T15:06:00,Delhi,R0785,Beverages,244,42,0
ORD108847,2025-01-01T15:15:00,Chennai,R0762,Desserts,224,26,0
ORD118631,2025-01-01T15:16:00,Bangalore,R0742,Desserts,100,34,0
ORD134986,2025-01-01T15:19:00,Delhi,R0251,South Indian,306,28,0
ORD109480,2025-01-01T15:20:00,Hyderabad,R0125,Desserts,168,18,0
ORD102811,2025-01-01T15:20:00,Mumbai,R0791,Beverages,107,40,0
ORD139673,2025-01-01T15:22:00,Hyderabad,R0310,Fast Food,97,30,0
ORD134172,2025-01-01T15:23:00,Kolkata,R0336,Chinese,383,42,0
ORD147056,2025-01-01T15:24:00,Bangalore,R0242,Fast Food,317,24,0
ORD132995,2025-01-01T15:25:00,Pune,R0274,Continental,550,18,0
ORD124843,2025-01-01T15:26:00,Pune,R0428,Italian,386,43,0
ORD146891,2025-01-01T15:26:00,Mumbai,R0033,South Indian,157,27,0
ORD143690,2025-01-01T15:31:00,Mumbai,R0037,Biryani,283,30,0
ORD103204,2025-01-01T15:34:00,Delhi,R0508,North Indian,321,37,0
ORD138031,2025-01-01T15:42:00,Mumbai,R0481,Continental,715,45,0
ORD141240,2025-01-01T15:43:00,Hyderabad,R0501,North Indian,487,48,0
ORD138491,2025-01-01T15:45:00,Chennai,R0031,Fast Food,135,15,0
ORD101654,2025-01-01T15:52:00,Bangalore,R0585,Italian,840,34,0
ORD139909,2025-01-01T15:56:00,Mumbai,R0339,Desserts,183,30,0
ORD132071,2025-01-01T15:59:00,Delhi,R0068,Italian,777,38,0
ORD147822,2025-01-01T16:01:00,Bangalore,R0756,Biryani,309,31,0
ORD102234,2025-01-01T16:02:00,Mumbai,R0003,Desserts,186,39,0
ORD139639,2025-01-01T16:04:00,Delhi,R0715,Chinese,212,55,0
ORD135982,2025-01-01T16:08:00,Bangalore,R0709,Fast Food,215,26,0
ORD129732,2025-01-01T16:09:00,Delhi,R0062,South Indian,276,52,0
ORD111276,2025-01-01T16:10:00,Pune,R0089,Chinese,408,25,0
ORD133011,2025-01-01T16:16:00,Kolkata,R0559,Beverages,208,48,0
ORD110970,2025-01-01T16:22:00,Mumbai,R0003,North Indian,441,49,0
ORD133617,2025-01-01T16:23:00,Bangalore,R0262,Chinese,99,27,0
ORD107427,2025-01-01T16:25:00,Kolkata,R0610,Beverages,184,36,0
ORD104768,2025-01-01T16:25:00,Pune,R0571,South Indian,158,47,0
ORD100337,2025-01-01T16:26:00,Bangalore,R0549,Beverages,81,25,0
ORD142840,2025-01-01T16:30:00,Delhi,R0071,South Indian,331,55,0
ORD116816,2025-01-01T16:31:00,Chennai,R0661,Biryani,381,46,0
ORD135123,2025-01-01T16:35:00,Chennai,R0047,Chinese,297,39,0
ORD122869,2025-01-01T16:37:00,Delhi,R0290,Fast Food,125,35,0
ORD140601,2025-01-01T16:37:00,Kolkata,R0322,Chinese,350,50,0
ORD111710,2025-01-01T16:41:00,Chennai,R0627,Biryani,611,53,0
ORD129342,2025-01-01T16:41:00,Mumbai,R0786,Italian,744,41,0
ORD127895,2025-01-01T16:47:00,Delhi,R0042,Italian,594,66,0
ORD146069,2025-01-01T16:49:00,Mumbai,R0312,Desserts,285,18,0
ORD136632,2025-01-01T16:50:00,Mumbai,R0791,Continental,695,25,0
ORD103292,2025-01-01T16:52:00,Chennai,R0602,Continental,903,36,0
ORD116828,2025-01-01T16:53:00,Bangalore,R0174,Chinese,263,64,0
ORD112304,2025-01-01T17:00:00,Delhi,R0217,South Indian,141,52,0
ORD131806,2025-01-01T17:03:00,Bangalore,R0461,South Indian,243,21,0
ORD113047,2025-01-01T17:07:00,Mumbai,R0535,South Indian,305,48,0
ORD100644,2025-01-01T17:07:00,Delhi,R0705,Fast Food,153,15,0
ORD115718,2025-01-01T17:07:00,Mumbai,R0398,Italian,620,49,0
ORD124260,2025-01-01T17:12:00,Kolkata,R0327,South Indian,136,20,0
ORD115455,2025-01-01T17:19:00,Delhi,R0268,Beverages,134,40,0
ORD131566,2025-01-01T17:19:00,Delhi,R0556,Italian,780,45,0
ORD109328,2025-01-01T17:23:00,Pune,R0775,Chinese,198,40,0
ORD134081,2025-01-01T17:25:00,Bangalore,R0398,Italian,450,15,0
ORD102504,2025-01-01T17:30:00,Bangalore,R0118,Desserts,133,33,0
ORD124445,2025-01-01T17:32:00,Pune,R0241,Beverages,275,34,0
ORD122655,2025-01-01T17:38:00,Hyderabad,R0113,Fast Food,337,27,1
ORD148309,2025-01-01T17:39:00,Chennai,R0013,Beverages,282,49,0
ORD146937,2025-01-01T17:39:00,Pune,R0652,Fast Food,159,31,0
ORD130555,2025-01-01T17:51:00,Kolkata,R0600,North Indian,294,31,1
ORD106865,2025-01-01T17:55:00,Chennai,R0311,Beverages,175,34,0
ORD118798,2025-01-01T17:57:00,Delhi,R0645,Desserts,199,43,0
ORD118377,2025-01-01T18:00:00,Hyderabad,R0102,Italian,719,42,0
ORD136551,2025-01-01T18:01:00,Hyderabad,R0102,Beverages,126,38,0
ORD125251,2025-01-01T18:02:00,Delhi,R0593,Italian,664,30,0
ORD141533,2025-01-01T18:03:00,Delhi,R0399,Biryani,260,27,0
ORD108492,2025-01-01T18:04:00,Mumbai,R0295,Fast Food,176,36,1
ORD124219,2025-01-01T18:07:00,Delhi,R0509,Desserts,296,58,0
ORD138808,2025-01-01T18:07:00,Mumbai,R0629,North Indian,337,20,0
ORD122841,2025-01-01T18:12:00,Mumbai,R0316,Continental,89,33,0
ORD110246,2025-01-01T18:13:00,Pune,R0531,Desserts,80,33,0
ORD103266,2025-01-01T18:14:00,Delhi,R0321,Biryani,554,50,0
